FECHA INICIO;FECHA TERMINO;CONCEPTO;LINE;KEY Equipment;UNIDAD;CONSUMO;ID;ID Unico;ID FABRICACION
1/04/2024;7/04/2024;A. COMPRIMIDO;FMD;G45;[m3];626,9210259;45;45.1; GRUPO 45
1/04/2024;7/04/2024;A. COMPRIMIDO;FMD;G46;[m3];0;46;46.1; GRUPO 46
1/04/2024;7/04/2024;A. COMPRIMIDO;FMD;G51;[m3];1934,537957;51;51.1; GRUPO 51
1/04/2024;7/04/2024;A. COMPRIMIDO;FMD;G73;[m3];3101,857498;73;73.1; GRUPO 73
1/04/2024;7/04/2024;A. COMPRIMIDO;FMD;G80;[m3];0;80;80.1; GRUPO 80
1/04/2024;7/04/2024;A. COMPRIMIDO;FMD;G82;[m3];0;82;82.1; GRUPO 82
1/04/2024;7/04/2024;A. COMPRIMIDO;FMD;G84;[m3];4234,884304;84;84.1; GRUPO 84
1/04/2024;7/04/2024;A. COMPRIMIDO;PMD;HXD Lamina;[m3];0;204;204.1;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;A. COMPRIMIDO;PMD;HXD Vena;[m3];202,2726205;205;205.1;HxD VENA (pre-secado)
1/04/2024;7/04/2024;A. COMPRIMIDO;UTILITIES;Otros;[m3];;294;294.1;
1/04/2024;7/04/2024;A. COMPRIMIDO;UTILITIES;SALA COMPRESORES;[m3];213851,6856;206;206.1;MCE+MVAR
1/04/2024;7/04/2024;A. COMPRIMIDO;PMD;SOPLADO;[m3];1715,737939;280;280.1;
1/04/2024;7/04/2024;A. COMPRIMIDO;UTILITIES;TOTAL COMPRESORES;[m3];260214,8725;208;208.1;MCE+MVAR
1/04/2024;7/04/2024;A. COMPRIMIDO;PMD;TOTAL Proceso;[m3];9029,950435;209;209.1;TOTAL PMD
1/04/2024;7/04/2024;AGUA;UTILITIES;Ablandador Duchas;[m3];4,96;298;298.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Ablandador Sala Caldera;[m3];0,7;299;299.2;TOTAL PMD
1/04/2024;7/04/2024;AGUA;UTILITIES;Ablandador Sala Máquinas;[m3];54,23;300;300.2;TEMPERATURA
1/04/2024;7/04/2024;AGUA;UTILITIES;Ablandador SMD2;[m3];19,29;301;301.2;HUMEDAD
1/04/2024;7/04/2024;AGUA;UTILITIES;Agua caliente Camarines;[m3];39;210;210.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Baños Op1;[m3];0,987258439;211;211.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Baños Op2;[m3];0,172312156;212;212.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;BOMBA JOCKEY;[m3];0,516597601;281;281.2;unitario
1/04/2024;7/04/2024;AGUA;UTILITIES;Cabina 1 Climatizado SMD 1;[m3];5,42;213;213.2;HUMEDAD
1/04/2024;7/04/2024;AGUA;UTILITIES;Cabina 2 Climatizado SMD 1;[m3];1;214;214.2;HUMEDAD
1/04/2024;7/04/2024;AGUA;UTILITIES;Cabina 3 Climatizado SMD 1;[m3];3,11;215;215.2;HUMEDAD
1/04/2024;7/04/2024;AGUA;UTILITIES;CALDERA;[m3];75,77342509;216;216.2;TOTAL PMD
1/04/2024;7/04/2024;AGUA;UTILITIES;Calderas (medidor sala bombas);[m3];196,1466686;217;217.2;TOTAL PMD
